fella,парень
roman,Роман
greater,больше
damned,треклятый
couch,диван
cheer,радость
vegas,вегас
shoe,обувь
title,заглавие
shy,застенчивый
punishment,наказание
los,лос
clicks,щелчок
you,ты
closet,шкаф
bye-bye,пока-пока
fever,высокая температура
coward,трусливый
flash,вспышка
impressed,впечатленный
bruce,Брюс
siren,сирена
prisoners,заключенные
sides,сторона
bowl,чаша
katie,Кэти
supply,поставка
sensitive,чувствительный
hopefully,с надеждой
rolling,прокат
roy,Рой
dollar,доллар
tone,тон
voices,голоса
g,грамм
i,я
cheating,списывание
confess,признаваться
demand,потребность
museum,музей
unknown,неизвестный
drama,драма
suspicious,подозрительный
adult,взрослый
todd,топ
frightened,испуганный
warned,предупрежден
steady,устойчивый
kills,убийства
crossed,пересекается
lou,Lou
particularly,особенно
sandwich,сэндвич
laws,законы
joint,соединение
bullets,пули
package,упаковка
trained,обученный
thursday,четверг
boots,сапоги
possibility,возможность
albert,Альберт
civil,гражданское хозяйство
june,июнь
germans,немцы
baseball,бейсбол
express,выражать
miserable,убогий
tuesday,вторник
parker,парнер
lion,лев
joseph,Джозеф
refused,отказался
shine,блеск
assault,атаковать
hong,холма
jokes,анекдоты
breaks,перерывы
argue,спорить
you-,ты-
trail,тащить
option,вариант
recall,отзывать
mighty,могущественный
collection,коллекция
oliver,Оливер
wilson,Уилсон
accent,акцент
believes,верит
decisions,решения
embarrassed,смущенный
mobile,мобильный
customer,покупатель
terribly,ужасно
sec,раздел
charity,благотворительная деятельность
considering,учитывая
pussy,киска
donna,Донна
protecting,защита
flag,флаг
kidnapped,похищенный
italy,Италия
balance,остаток средств
creatures,существа
nuclear,ядерный
wallet,кошелек
shout,кричать
vincent,вспомогательный
entered,вошел
impression,впечатление
angela,ангела
jay,jay.
degrees,градусы
favour,услуга
reaction,реакция
network,сеть
jessica,Джессика
version,версия
concert,концерт
gear,механизм
singer,певица
diamond,алмаз
defeat,поражение
steven,стерена
lane,переулок
blast,взрыв
wounded,раненый
anytime,любое время
partners,партнеры
ages,века
charlotte,Шарлотта
ceremony,церемония
league,лига
bars,бары
orange,апельсин
specific,специфический
conditions,условия
plastic,пластик
crisis,кризис
fifth,пятый
term,срок
self,себя
offering,предложить
bud,бутон
suffered,пострадал
reported,сообщили
commissioner,комиссар
rip,рвать
mysterious,загадочный
entrance,Вход
messed,отступник
tunnel,туннель
designed,разработанный
neighbor,сосед
aboard,на борту
sweat,пот
justin,Джастин
ghosts,призраки
crimes,преступления
costs,расходы
deserves,заслуживает
dreaming,сновидение
bust,бюст
el,эль
teddy,Тедди
kong,уклон
messages,Сообщения
enjoying,наслаждаться
afterwards,после
comfort,комфорт
mason,Мейсон
surrender,сдаваться
gym,спортзал
kitty,Китти
crush,раздавить
yup,Ага
arranged,согласованный
suits,костюмы
pee,моча
stress,стресс
cave,пещера
wing,крыло
jordan,Иордания
arrange,договариваться
comrade,товарищ
noble,благородный
tricks,трюки
betty,Бетти
launch,запуск
legend,легенда
mix,смешивание
golf,гольф
imagination,воображение
fox,лиса
kissing,целовать
butter,масло
tax,налог
gross,валовой
edward,эдвард
texas,Техас
insist,настаивать
marcus,Marcus
classic,классика
selfish,эгоистичный
skull,череп
frankie,франки
shown,показан
bat,летучая мышь
survived,выжил
print,Распечатать
champion,чемпион
bills,счета
therapy,терапия
lifetime,продолжительность жизни
throughout,через
a.m.,являюсь.
nathan,Натан
toward,к
sauce,соус
experiment,эксперимент
margaret,Маргарет
describe,описывать
ross,росс
grass,трава
cheat,изменять
attend,присутствовать
homework,домашнее задание
lewis,Льюис
betrayed,предательство
servant,слуга
cap,шапка
tyler,тайлер
bible,Библия
practically,практически
catherine,емкость
steel,сталь
wipe,вытирать
burns,ожоги
j,j
generation,поколение
cabin,салон самолета
financial,финансовый
industry,промышленность
bond,связь
sheep,овец
scientists,ученые
beaten,избитый
heck,черт
deck,палуба
fans,фанаты
script,скрипт
brand,марка
degree,степень
painful,болезненный
coughing,кашляющий
religion,религия
cats,кошки
stephen,Стивен
influence,влиять
fuel,топливо
drawing,рисунок
uh-oh,uh-ох
rabbit,кролик
exercise,упражнение
attractive,привлекательный
touching,прикосновение
virus,вирус
realise,понимать
torture,пытка
blessed,благословенный
plain,простой
rebecca,Ребекка
recent,недавний
barbara,Барбара
footsteps,шаги
sacred,священный
removed,удаленный
pretending,притворяться
wasted,потрачено
jewish,еврейский
goodnight,доброй ночи
robot,робот
crystal,кристалл
confirm,подтверждать
lad,парень
mile,миль
division,разделение
scratch,царапать
reminds,напоминает
walks,прогулки
ending,окончание
russia,Россия
contest,конкурс
valuable,ценный
distant,далекий
dumped,сбрасываться
motion,движение
electricity,электричество
centre,центр
murders,убийства
tina,Тина
jeremy,Джереми
seal,тюлень
standard,стандартный
ellen,Эллен
wore,носил
surrounded,окруженный
struck,ударил
inform,сообщить
gentle,нежный
status,положение дел
purse,кошелек
prints,принты
players,игроки
charged,взимается
begging,просить
delivered,доставлен
kenny,Кенни
buck,бак
nina,Нина
construction,строительство
confirmed,подтвержденный
confession,признание
trigger,курок
cells,клетки
frankly,откровенно говоря
ali,али
exit,выход
response,отклик
cancel,Отмена
argument,аргумент
principal,главный
turkey,Турция
lucas,Лукас
clinic,клиника
greetings,Приветствую
neighbors,соседи
vice,порок
toy,игрушка
hannah,Ханна
everyday,ежедневно
generous,щедрый
gain,прирост
idiots,идиоты
holly,падуб
enjoyed,наслаждались
jungle,джунгли
link,ссылка
underground,под землей
smiling,улыбаться
mistress,госпожа
teams,команды
product,продукт
beef,говядина
whispers,шепс
religious,религиозной
presents,подарки
identify,идентифицировать
chip,чип
chffffff,шффффф
surveillance,наблюдение
carlos,карлос
vampire,вагон
routine,рутина
uses,использует
michelle,Мишель
underneath,под
systems,система
temperature,температура
waves,волны
tribe,племя
brad,преступник
deputy,депутат
sophie,Софи
headquarters,штаб-квартира
equal,равный
phones,телефоны
ken,ken.
reckon,считать
related,связанные с
incredibly,невероятно
chill,холод
spit,плевать
tracks,треки
oscar,Оскар
makeup,"макияж, мириться"
bug,ошибка
sounded,звучало
spirits,духов
nerve,нервность
divorced,в разводе
stake,доли
port,порт
doorbell,дверной звонок
worries,беспокоиться
nephew,племянник
miller,Миллер
units,единицы
just-,просто-
proceed,продолжить
landing,посадка
traitor,предатель
outfit,одежда
chloe,хлоя
bail,залог
fields,поля
patience,терпение
recording,запись
foolish,глупый
loaded,заряженный
tokyo,токио
davis,Дэвис
costume,костюм
wayne,Уэйн
injured,пострадавший
somethin,Сометин
ian,Ян
pet,домашний питомец
cage,клетка
digging,копать
spain,Испания
seats,сиденья
awkward,неуклюжий
cleaned,очищенный
pattern,шаблон
filthy,грязный
visiting,посещение
jews,евреи
answering,отвечать
concentrate,концентрат
someplace,где-то
citizens,граждане
aim,цель
nancy,Нэнси
affairs,дела
thick,толстый
sport,спорт
basic,базовый
electric,электрический
pleasant,приятный
cliff,Утес
nail,гвоздь
russell,Рассел
environment,среда
western,западный
average,в среднем
ease,простота
raped,изнасилованный
interrupt,прерывать
judy,Джуди
satisfied,доволен
beep,сигнал
starving,изголодавшийся
documents,документы
anniversary,Годовщина
beth,бета
election,выборы
warrior,воин
r,р
forth,вперед
fetch,принести
banks,банки
placed,размещены
timing,время
stones,камни
complex,сложный
frozen,замороженный
replace,заменять
prayer,молитва
skip,пропускать
angeles,анджелес
guilt,чувство вины
tune,мелодий
woo,вулки
actions,Действия
conscience,совесть
officially,официально
martha,Марта
machines,машины
smaller,меньший
determined,определенный
blown,раздуваться
hail,град
unhappy,несчастный
booth,бутон
pour,залить
berlin,Берлин
cleared,очищенный
packed,упакованный
wrap,сворачивать
randy,Рэнди
behalf,от имени
reasonable,разумный
trunk,сундук
homes,дома
festival,фестиваль
tradition,традиция
cigarettes,сигареты
le,леос
beside,рядом
harvey,Харви
motive,мотивы
beings,существа
bishop,епископ
dealer,дилер
defendant,подсудимый
backup,резервное копирование
wounds,раны
ouch,отель
ann,Анна
nearby,"рядом, поблизости"
drank,пили
effects,эффекты
jonathan,Джонатан
dennis,дннис
benefit,выгода
adventure,приключение
p,п
territory,территория
ve,ведущий
apology,извинения
dylan,Дилан
unlike,В отличие от
owns,владеет
boxes,коробки
thus,таким образом
clay,глина
developed,развитый
busted,разбитый
pipe,трубка
gray,серый
no.,нет.
goods,товары
favourite,любимый
salad,салат
loyal,верный
atmosphere,атмосфера
eva,эва
freaking,Беспорядок
dropping,падение
strangers,чужие люди
mouse,мышь
downtown,в центре города
francisco,Франциско
heroes,герои
pit,яма
rotten,сгнивший
paradise,рай
meantime,Тем временем
jess,Джесс
organization,Организация
hills,холмы
exam,экзамен
cock,петух
fairy,сказочный
earl,граф
comment,комментарий
activity,деятельность
frame,Рамка
knight,рыцарь
testing,тестирование
habit,привычка
shelter,приют
flow,поток
jennifer,Дженнифер
holes,отверстия
prevent,не допустить
anthony,Энтони
lend,давать в долг
cooper,купер
figures,фигуры
boston,бостон
sample,образец
strip,полоска
landed,высадился
buzzing,жужжание
monk,монах
slightly,немного
produce,производить
annoying,раздражающий
judgment,суждение
laundry,прачечная
ron,рон
lousy,паршивый
souls,души
existence,существование
belly,живот
tries,пытается
foster,взращивать
returning,возвращение
answered,ответил
ward,сторожить
plants,растения
actress,актриса
chairman,председатель
individual,индивидуальный
hopes,надежды
tattoo,татуировка
fence,изгородь
sink,раковина
punk,панк
confident,уверенный
yay,ура
mistaken,ошибочно
limit,предел
bothering,беспокоиться
st,ул
uncomfortable,неудобный
wednesday,среда
gifts,подарки
policeman,полицейский
na,нос
precisely,точно
lawyers,Адвокаты
greek,греческий
merely,просто
criminals,преступники
underwear,нижнее белье
hoped,надеяться
earned,заработанный
reveal,раскрывать
appeared,появился
derek,дерек
heavens,небеса
personality,личность
batman,Бэтмен
virginia,Вирджиния
wives,жены
colour,цвет
worker,работник
pope,папа
instructions,инструкции
intelligent,разумный
worrying,беспокоиться
vince,ворсина
comin,комин
cried,плакала
traveling,путешествие
bells,колокольчик
x,Икс
impact,влияние
robbed,ограбил
relief,облегчение
host,хозяин
footage,отснятый материал
odds,шансы
patrol,патруль
circus,цирк
mud,грязь
captured,захваченный
lessons,уроки
occasion,повод
sets,набор
pulse,пульс
ad,объявление
invented,изобрел
diamonds,алмазы
matthew,Мэтью
auntie,тетье
cloud,облако
francis,Фрэнсис
angels,ангелы
hers,не
classes,классы
mm-hm,мм-HM.
signature,подпись
complain,жаловаться
blah,благ
monitor,мониторинг
options,параметры
claims,претензии
flies,летит
pat,патент
britain,Британия
hid,спрятанный
wailing,плача
listened,слушал
countries,стран
vic,вика
yell,кричать
rats,крысы
wondered,задавались вопросом
smooth,гладкий; плавный
resist,оказывать сопротивление
companies,компания
fantasy,фантазия
passport,заграничный пасспорт
pitch,подача
hammer,молоток
homicide,мимо
casey,кейс
holds,проводит
flew,пролетел
jacob,jacob.
noon,полдень
helicopter,вертолет
dishes,тарелки
spin,вращаться
charm,очарование
slap,шлепок
apply,подать заявление
fools,дураки
screeching,визг
discover,обнаружить
previous,предыдущий
kit,Комплект
authorities,власти
moaning,стонать
photograph,фотография
sales,продажи
fifty,пятьдесят
mickey,микки
beneath,под
farewell,прощание
clouds,облака
slipped,поскользнуться
represent,представлять
deaf,глухой
facing,облицовка
offense,преступление
citizen,гражданин
clown,клоун
snap,щелчок
messing,возиться
hood,капот
twelve,двенадцать
interests,интересы
cheated,обманывать
liz,Лиз
informed,проинформирован
humanity,человечество
producer,режиссер
technically,технически
accounts,учетные записи
extreme,экстремальный
gettin,получать
cia,Cia.
ii,II
pays,платить
profile,профиль
oxygen,кислород
jeez,jeez.
gene,ген
shed,пролить
minor,незначительный
ex,бывший
theatre,театр
scientific,научный
lovers,любители
chaos,хаос
l.a.,Л.А.
rocket,ракета
math,математика
stubborn,упрямый
august,август
oi,oi
chips,чипсы
intense,интенсивный
grey,серый
talkin,разговор
terrorist,террорист
angle,угол
invitation,приглашение
gus,гюсс
gambling,играть в азартные игры
respond,реагировать
thirty,тридцать
procedure,процедура
absolute,абсолютно
investigate,расследовать
tragedy,трагедия
stable,стабильный
session,сессия
capture,захватывать
marrying,замужем
ripped,разорвать
attacks,атаки
stretch,потягиваться
bush,куст
dates,даты
unable,неспособный
gates,ворота
mars,Марс
artists,артисты
increase,увеличивать
tastes,вкусы
cared,уполномоченный
bottles,бутылки
highest,самый высокий
whirring,озвучивать
meanwhile,тем временем
nate,настраивать
grabbed,схватил
pigs,свиньи
chop,нарезать
olivia,Оливия
wheels,колеса
shocked,в шоке
reverend,преподобный
commercial,коммерческий
escort,эскорт
engagement,помолвка
corpse,труп
louise,Луиза
worthy,достойный
scale,шкала
beats,бить
williams,Уильямс
threatening,угрожая
exists,существуют
academy,академия
acts,акты
hop,прыгать
judges,судьи
furniture,мебель
shared,общий
ralph,Ральф
consequences,последствия
engineer,инженер
schools,школы
softly,тихо
bombs,бомбы
caroline,Кэролайн
shark,акула
transport,транспорт
population,численность населения
succeed,преуспевать
creepy,жутко
sneak,красться
studies,изучение
destruction,разрушение
keith,keith
protected,охраняемый
monsters,монстры
joining,присоединение
punished,наказан
lightning,молния
malcolm,Малкольм
shell,оболочка
fascinating,очаровательный
chamber,камера
ethan,Итан
romance,романтика
instance,пример
jumping,прыгать
groups,Группы
exhausted,измученный
testify,свидетельствовать
studied,учился
walker,ходок
pin,штырь
imagined,воображаемый
drill,дрель
investigating,расследование
ye,вы
experienced,опытный
elena,Елена
necklace,ожерелье
loyalty,верность
junk,хлам
cole,Коул
cries,крики
stanley,Стэнли
rita,Рита
southern,южный
blocks,блоки
emotions,эмоции
begun,начаться
maya,майя
liver,печень
serving,служитель
matches,Матчи
surgeon,хирург
granted,предоставляется
jazz,джаз
july,июль
supplies,запасы
deeper,Глубже
typical,типичный
kicking,пинать
obey,подчиняться
dancer,танцор
remote,удаленный
daughters,дочери
moron,придурок
latin,латинский
teachers,преподаватель
toby,Тоби
sandy,Сэнди
dragged,вытащил
strategy,стратегия
parent,родитель
jin,jin.
album,альбом
compared,в сравнении
rubbish,мусор
helpful,полезный
powder,пудра
sync,синхронизировать
bum,задница
passes,пропуски
joan,Джоан
fort,форт
choices,выбор
alley,аллея
supper,ужин
penis,пенис
alibi,алиби
sammy,Сэмми
pole,столб
coke,кокс
scientist,ученый
fighter,истребитель
highway,шоссе
blade,лезвие
alpha,альфа
diet,диета
liquor,ликер
jet,самолет
widow,вдова
liberty,Свобода
philip,филипп
moral,мораль
carrie,Кэрри
award,награда
grief,горе
thirsty,жаждущий
ashley,эшли
random,случайный
suspects,подозреваемые
intention,намерение
julian,Джулиан
active,активный
tools,инструменты
driven,заново
trauma,травма
headache,Головная боль
safely,благополучно
alexander,Александр
knee,колено
lads,парень
novel,Роман
conversations,разговоры
waters,вод
lookin,смотреть в
invisible,невидимый
internal,внутренний
peaceful,мирный
humming,выравнивание
washed,вымыть
drives,приводы
talented,талантливый
li,лита
aid,помогать
elephant,слон
troubles,неприятности
core,основной
serial,сериал
s-,с-
painted,окрашенный
the,то
divine,божественный
jam,варенье
goat,козел
opera,опера
thieves,воровство
guessing,угадывание
objection,возражение
whiskey,виски
florida,Флорида
resistance,сопротивление
dressing,одеваться
attached,прикрепил
aaron,Аарон
brief,краткий
punish,наказывать
eternal,вечный
lois,лоис
and,а также
required,требуется
victoria,Виктория
fabulous,поразительнй
twins,двойняшки
characters,символы
cooked,приготовленный
ln,вспомогательный
ruth,Рут
dreamed,мечтал
arts,искусство
naughty,непослушный
stabbed,урезать
tend,иметь тенденцию
diane,дианец
tap,нажмите
soap,мыло
locker,шкафчик
development,разработка
images,изображений
prick,уколоть
global,Глобальный
string,нить
bitter,Горький
sharing,общий вопрос
corn,кукуруза
craig,Craig.
fits,подходит
tent,палатка
forms,формы
votes,голоса
harold,Гарольд
propose,проложить
monica,Моника
constantly,постоянно
granny,бабушка
nicely,мило
nerves,нервы
arguing,спорить
abuse,злоупотреблять
relatives,родственники
survival,выживание
gloves,перчатки
tracking,отслеживание
zoe,zoe.
u,унция
bend,сгибать
review,рассмотрение
connect,соединять
separated,отделен
elder,старейшина
beard,борода
admiral,адмирал
diana,Диана
salary,зарплата
areas,область
disturb,беспокоить
pro,проводить
maintain,поддерживать
solved,решается
wealth,богатство
bitches,суки
possession,владение
sang,пел
gimme,дамить
plates,тарелки
shoulders,плечи
burnt,сгоревший
recorded,записано
upper,верх
counts,подсчет
tale,осторожность
profit,выгода
colleague,коллега
warehouse,склад
hostage,заложник
shore,берег
porn,порно
miami,Майами
fifteen,пятнадцать
visitors,посетители
bo,боевик
net,сеть
insult,оскорблять
owen,Оуэн
cities,Города
causing,причина
lemon,лимон
heal,лечить
banging,стучать
honeymoon,Медовый месяц
appeal,обращаться
marshall,марка
critical,критический
creating,создание
scotland,Шотландия
crane,кран
enormous,громадный
testimony,свидетельство
praise,хвалить
fights,бои
indians,индейцы
commission,комиссия
growls,рычание
nicole,николаз
sins,грехов
fraud,мошенничество
branch,ветвь
happily,радостно
bout,боевик
covering,покрытие
occurred,произошел
beans,бобы
raw,сырой
muscle,мышцы
pages,страницы
tense,напряженный
relationships,отношения
management,управление
assignment,назначение
blonde,блондинка
catching,добиваться
exposed,незащищенный
canada,Канада
dont,нерешительный
han,хан
von,варенье
comedy,комедия
marco,Marco.
stroke,Инсульт
whistling,свист
buildings,здания
shaking,встряхивание
p.m.,вечера.
facility,средство
appropriate,подходящее
remarkable,замечательный
transferred,переведен
drawn,нарисованный
tits,сиськи
clicking,нажав
symbol,условное обозначение
motor,мотор
employees,сотрудники
ambassador,посол
mothers,матеря
pile,куча
feeding,кормление
soda,сода
checks,проверки
bears,медведи
cookies,печенье
slut,шлюха
awfully,ужасно
stepped,Степень
toys,игрушки
levels,уровни
differently,иначе
magnificent,великолепный
steak,стейк
tube,трубка
leaders,лидеры
superior,начальство
herr,трюк
pan,Сковорода
expression,выражение
currently,В данный момент
throne,престол
deadly,Смертельный
bee,пчела
tooth,зуб
depressed,депрессия
potatoes,картошка
wicked,безнравственный
resources,Ресурсы
native,родные
centuries,века
karl,Карл
poetry,поэзия
multiple,несколько
cable,кабель
shortly,в ближайшее время
buzz,гул
socks,носки
fingerprints,отпечатки пальцев
goddess,богиня
chin,подбородок
anxious,тревожный
september,сентябрь
colors,цвета
basketball,баскетбол
promises,обещания
explained,объяснил
appearance,внешность
musical,мюзикл
sends,отправляет
slide,горка
aii,AII.
shawn,шон
ultimate,окончательный
pork,свинина
communication,коммуникация
payment,оплата
structure,состав
paperwork,оформление документации
obsessed,одержимый
lazy,ленивый
russians,россиян
actors,актеры
squeeze,сжимать
magical,магический
colleagues,коллеги по работе
admire,восхищаться
madness,безумие
roads,дороги
entry,Вход
injury,"травма, повреждение"
burden,груз
racing,гоночный
manner,манера
freezing,замораживание
bits,биты
norman,Норман
mount,устанавливать
battery,батареи
dessert,Десерт
pound,фунт
visited,Посещение
motel,мотель
rumbling,урчание
cinema,кино
fond,увлекаться
halfway,наполовину
rifle,винтовка
reception,стойка регистрации
statue,статуя
fridge,холодильник
brick,кирпич
abandon,покидать
lap,колени
natalie,Натали
wars,военные войны
recommend,рекомендовать
brush,щетка
nelson,нельсон
pill,таблетка
concept,концепция
w,варенье
delay,задерживать
quarters,кварталы
korea,Корея
janet,Джанет
rub,тереть
mall,торговый центр
soil,почва
complaint,жалоба
sail,плыть
baker,пекарь
coughs,кашель
bucket,ведро
description,описание
badge,значок
measure,мера
hip,бедро
function,функция
indistinctly,неразрядно
harris,Harris
foundation,Фонд
labor,труд
willie,Вилли
waiter,официант
homeless,бездомный
proved,доказано
unfortunate,несчастный
log,бревно
meetings,встречи
giggles,хихикание
combat,бой
poem,стих
polish,польский
handed,передавать
mia,MIA
weed,сорняк
raymond,Raymond.
tons,тонн
satellite,спутниковое
jersey,Джерси
eagle,орел
privacy,Конфиденциальность
chapter,глава
treating,лечение
wisdom,мудрость
flip,кувырок
entering,вход
barn,сарай
farmer,фермер
clan,клан
budget,бюджет
pub,паб
temporary,временный
effective,эффективно
sonny,сынок
wendy,вот
juan,господин
lamb,ягненок
plot,участок
riley,Райли
proposal,предложение
sticks,палочки
searched,Искал
blessing,благословение
rage,ярость
bothered,надоело
sydney,Сидней
basis,основа
manners,манеры
recover,восстанавливаться
twist,крутить
neil,неил
leak,утечка
item,элемент
catholic,католический
sighing,вздыхание
retired,в отставке
kings,короги
inner,внутренний
cents,центы
affect,оказывать воздействие
forbidden,запрещенный
patch,пластырь
drops,падение
necessarily,обязательно
provided,предоставлена
meters,метры
booked,забронировать
returns,возвращается
gloria,Глория
fires,пожары
humor,юмор
torn,разорванный
e-mail,Эл. почта
rocky,каменистый
introduced,введен
creative,творческий
betray,предавать
soviet,советский
various,различный
added,добавлен
discovery,открытие
cowboy,ковбой
suspected,подозреваемый
suggested,предложенный
delighted,получивший удовольствие
sticking,прилипание
dive,погружение
shane,шнеф
radar,радар
prosecutor,прокуратура
amber,Янтарь
vast,огромный
quinn,кулинар
owned,владелец
cookie,печенье
finest,самый лучший
felix,Феликс
pump,насос
valentine,валентина
counter,прилавок
sorts,сортирует
coin,монета
warren,усердие
slaves,рабы
marine,морской
illness,болезнь
sack,мешок
bid,делать ставку
require,требовать
moscow,Москва
largest,крупнейший
washing,мойка
achieve,достигать
causes,причина
k,k.
mo,МО
dope,наркотик
nest,гнездо
palm,Пальма
logan,логан
constant,постоянный
b.,б.
boo,бу
medication,медикамент
gravity,сила тяжести
booze,выпивка
noah,Ной
evan,эвана
abroad,за рубеж
christine,Кристин
rising,растущий
analysis,анализ
cuts,порезы
eats,ест
employee,работник
vodka,водка
damaged,поврежден
solar,солнечный
height,рост
pops,попс
yards,дворники
terrified,испуганный
suitcase,чемодан
chemical,химический
preparing,готовность
advanced,передовой
fund,финансировать
wears,носить
chirping,чирпинг
web,веб
phase,фаза
prom,выпускной вечер
suggesting,предложить
fleet,флот
lame,Хромой
irish,ирландский
editor,редактор
october,октябрь
assumed,предполагается
whip,хлыст
mel,мель
region,область
amongst,среди
temper,характер
discussion,обсуждение
engines,двигатели
operate,действовать
sunshine,Солнечный свет
acted,действовал
undercover,под прикрытием
horror,фильм ужасов
tested,тестировано
smash,разгромить
contrary,наоборот
roses,розы
poker,покер
wrapped,закудал
korean,корейский язык
graham,Грэм
mi,MI.
fu,фу
ivan,Иван
focused,сосредоточены
liam,Лиам
tragic,трагический
carla,Карла
demons,демоны
rounds,раунды
entertainment,развлечение
gathered,собранный
uhh,эх
yells,кричать
lincoln,Линкольн
crossing,пересечение
blanket,покрывало на кровать
nut,орех
travis,Трэвис
pockets,карманы
limited,ограничено
paintings,картины
sober,трезвый
caesar,Цезарь
sis,сиська
intended,предназначены
niece,племянница
computers,компьютеры
tennis,теннис
needle,иголка
chicks,птенцы
traditional,традиционный
delicate,деликатный
independent,независимый
leslie,Лесли
lauren,лаурен
grandson,внук
repair,ремонт
a.,.
brandon,Брэндон
executive,должностное лицо
colin,блинчик
recognized,признан
holmes,холмс
regarding,касательно
weakness,слабость
aliens,инопланетяне
gunshots,выстрелы
european,европейский
method,метод
tool,орудие труда
demands,требования
permit,разрешать
towel,полотенце
daisy,ромашка
nowadays,Настоящее время
spider,паук
northern,северный
rangers,Рейнджерс
zoo,зоопарк
praying,молиться
antonio,антонио
passengers,пассажиры
con,против
australia,Австралия
technique,техника
cellphone,сотовый телефон
gently,нежно
operations,операции
planes,самолеты
bunny,кролик
gunfire,выстрел
shining,сияющий
backwards,задом наперед
skill,навык
uh-,Эм-м-м-
baron,барон
kidnapping,похищение
iike,яик
marshal,маршал
petty,мелкий
sealed,запечатанный
massage,массаж
raising,поднимаясь
menu,меню
diary,дневник
fucker,Подонок
wagon,вагон
audition,прослушивание
mitch,микча
mexican,мексиканский
casino,казино
bacon,бекон
diego,диего
dutch,Голландский
promotion,продвижение
click,щелчок
forgiveness,прощение
burst,лопаться
permanent,постоянный
interfere,вмешиваться
chanting,пение
dammit,заманивать
spencer,Спенсер
recovered,восстанавливается
registered,зарегистрировано
sunny,солнечно
packing,упаковка
scenes,сцены
superman,супермен
questioning,допрос
unfair,несправедливый
admitted,допущенный
ancestors,предки
polite,вежливый
completed,завершенный
swallow,глотать
conduct,поведение
prayers,молитва
sheet,простыня
fried,жареный
avenue,проспект
poisoned,отравленные
reverse,задний ход
newspapers,газеты
ford,предел
complaining,жаловаться
senses,чувства
investment,инвестиции
absurd,абсурдный
potato,картошка
understands,понимает
grows,растет
inspired,вдохновленный
ruby,Рубин
celebrating,празднование
tag,ярлык
ram,баран
requires,требует
bonnie,бонни
bugs,баги
leonard,Леонард
elliot,Эллиот
hooked,зацепляется
jill,jill.
ranch,ранчо
safer,безопаснее
worn,изношенный
crashing,сбой
lands,землям
heather,вереск
ash,пепел
leather,кожа
grounds,основания
assuming,предположить
nails,гвозди
dana,дана
conspiracy,заговор
thanksgiving,День благодарения
pierre,пронзительный
guardian,опекун
rumors,слухи
yen,Йен
megan,Меган
ashes,пепел
terror,терроризм
misunderstanding,недоразумение
tire,шина
boats,лодки
parade,парад
halt,остановка
immunity,иммунитет
adults,Взрослые
steam,Стим
kang,канд
closely,близко
pearl,жемчужина
soccer,футбольный
adrian,Адриан
priority,приоритет
shouts,крики
donald,Дональд
happier,счастливее
khan,хан
struggling,столкнувшийся с трудностями
root,корень
larger,больше
november,ноябрь
boot,ботинок
conflict,конфликт
laughed,смеялись
debbie,дебби
cherry,вишня
honking,хонить
concerns,обеспокоенность
celebration,праздник
sore,больной
unconscious,без сознания
cattle,крупный рогатый скот
breasts,грудь
fairly,весьма
fee,платеж
recognise,распознавать
wade,Уэйд
radiation,радиация
holidays,каникулы
raining,дождь
forgetting,забывать
lungs,легкие
register,регистр
shadows,тени
specifically,конкретно
sarge,сарге
ideal,идеал
turtle,черепаха
spoil,портиться
deserved,заслуженный
ronnie,ronnie.
gina,Джина
candidate,кандидат
lance,ландшафт
types,типы
bloke,смягчать
explode,взорваться
immediate,немедленный
belonged,принадлежал
identified,определить
di,диоксида
hunger,голод
closest,ближайший
combination,комбинация
nanny,няни
seth,сет
gabriel,габриэль
develop,развивать
detectives,детективы
severe,тяжелая форма
en,выделять
organized,организованный
franklin,Франклин
gut,ума
splendid,великолепный
dismissed,уволен
pm,вечера
yang,янг
halloween,хэллоуин
ellie,ellie.
vulnerable,уязвимый
continued,продолжение
vital,жизненно важно
comrades,товарищ
bureau,бюро
drawer,выдвижной ящик
harper,призрак
retreat,спасаться бегством
carson,карсон
benny,Бенни
pillow,подушка
troy,трой
ace,туз
cart,корзина
nap,ворсин
chan,чан
ham,ветчина
announce,объявлять
borrowed,заимствовал
parked,припарковаться
galaxy,галактика
voted,проголосовали
muffled,приглушенный
sebastian,Себастьян
mmm-hmm,ммм-хм.
jewelry,ювелирные украшения
kisses,поцелуи
luggage,багаж
groom,жених
oops,ой
lighter,легче
masters,мастера
alliance,альянс
buddies,приятель
clothing,одежда
denied,отклонен
drown,тонуть
alike,одинаково
excellency,Превосходительство
relative,родственник
photographs,фотографии
burger,бургер
dough,тесто
alicia,Алисия
wreck,крушение
approve,утвердить
produced,произведенный
christina,Кристина
physically,физически
stations,станции
eli,эфир
samantha,саманта
spiritual,духовный
sire,сияние
roaring,рев
stab,утомлять
inch,дюйм
servants,слуги
limits,пределы
unexpected,непредвиденный
arrival,пребытие
whimpering,хныкать
basket,корзина
sheets,листы
scandal,скандал
stink,вонючий
homer,гомера
tara,тара
christopher,Кристофер
toes,пальцы
t-,T-
shield,щит
shooter,стрелок
instant,мгновенный
objects,объекты
rehearsal,репетиция
disturbing,тревожный
directed,направленный
scan,сканирование
electronic,электронный
republic,республика
overnight,с ночевкой
counsel,советник
sirens,сирены
dorothy,Дороти
bait,приманка
dignity,достоинство
explains,объясняет
lean,наклонять
heroin,героина
